Season,Week,Team,Spread Value,Offensive Power Rating,Offensive Pass EPA,Offensive Rush EPA,Offensive Run Rate Over Expected (%),Offensive Eckel Rate Over Expected (%),Offensive Points/Eckel ,Offensive Starting Field Position,Offensive Weighted EPA,Offensive Success Rate (%),Defensive Power Rating,Defensive Pass EPA,Defensive Rush EPA,Defensive Run Rate Over Expected (%),Defensive Eckel Rate Over Expected (%),Defensive Points/Eckel ,Defensive Starting Field Position,Defensive Weighted EPA,Defensive Success Rate (%)
2024,3,Michigan,8.45769,26.60821,0.102427601,0.067359264,-0.050184,-0.04817221,4.333333333,76.2,0.023576809,0.4,18.15052,0.171498186,-0.104637585,-11.35761604,0.003019475,3.875,69.16666667,-1.063416737,0.368
2024,2,Michigan State,-0.45045,22.49152,0.193478255,-0.062958487,-0.023340796,0.132795719,2.909090909,77.125,1.120220009,0.34375,22.94197,0.143354665,-0.051653366,0.504705531,0.043424567,2.5,78.88888889,-1.444952711,0.335820896
2024,3,Middle Tennessee,-10.58942,24.57978,0.133418488,-0.015290135,-0.080987496,0.119202391,3,77.75,0.71647381,0.346153846,35.1692,0.444355897,0.365354282,-10.24693786,0.292966724,5.307692308,69.375,-0.180319105,0.536764706
2024,3,Minnesota,7.45715,27.86681,0.407881609,0.103115227,-0.046066584,0.247183007,4.636363636,71.5,3.509789013,0.512,20.40966,-0.312248764,0.005242269,-0.420507345,-0.103044062,3.2,68.33333333,-2.497429605,0.264150943
2024,3,Mississippi State,-3.28166,26.25369,0.45714813,0.221571449,-0.000547,0.112251026,5.9,64.22222222,3.200670888,0.477477477,29.53535,-0.198296542,0.187803213,9.832409355,-0.066021235,5,82.66666667,-0.516071256,0.431506849
2024,3,Missouri,18.56605,34.28953,0.253943108,0.476532327,-0.102472331,0.312183181,4.857142857,70.07142857,3.466052492,0.602564103,15.72348,-0.512870891,-0.110631999,17.65265415,-0.271625069,0,85.75,-2.767844971,0.225490196
2024,2,Navy,-0.41274,27.18736,0.651496145,0.194907786,0.193800506,0.114765934,6.363636364,64,4.531614177,0.476923077,27.6001,0.130637061,-0.057455833,-2.238900635,-0.080764173,4,78.8,-1.765271949,0.307692308
2024,3,NC State,-2.78297,25.66354,0.18687236,0.042652233,-0.044181269,0.072093499,3.444444444,66.33333333,0.854961627,0.404958678,28.44651,0.159404363,0.226452485,-5.839654061,0.180061003,4.1,73.42857143,-0.810853579,0.421875
2024,2,Nebraska,6.80953,29.32386,0.185760901,0.222571729,-0.032163309,0.239639219,4.916666667,69.81818182,2.901809515,0.442176871,22.51433,0.039160328,0.273078896,-10.18829694,-0.157851808,4.25,78.625,-1.833356631,0.376146789
2024,3,Nevada,-4.77459,24.56804,0.330220611,0.11064131,0.062881821,0.058237404,4.583333333,74.08333333,1.919101681,0.419047619,29.34263,0.319686064,0.077352961,-8.391925361,0.118159533,4.933333333,79.53846154,-0.616536957,0.404255319
2024,3,New Mexico,-9.09454,24.88491,0.346513071,0.1192134,-0.025792062,0.108129349,5,85.5,2.411419426,0.398496241,33.97945,0.531117993,0.428812945,0.670313177,0.338662319,5.8,87,0.855386178,0.548148148
