market_line,true_line,cover_probability,push_probability,loss_probability
-18.5,11.5,0.04640935120764336,0.0012780147608674128,0.9529560864311029
-18.5,12.0,0.04602088246670693,0.001294582228471192,0.9526850545254258
-18.5,12.5,0.04408872923675069,0.0012969453098716928,0.9521979940454565
-18.5,13.0,0.041122497053323485,0.0012589304257433539,0.957625806815195
-18.5,13.5,0.03789250191347763,0.001169544904344103,0.9699916564636203
-18.5,14.0,0.03504797946469758,0.0010627454732748498,0.9639655821299258
-18.5,14.5,0.03323479724072732,0.0009856453772302501,0.9322257295920516
-18.5,15.0,0.033206430669917394,0.0009930345299369613,0.9658357956727122
-18.5,15.5,0.034065686582839864,0.0010718418446527987,1.090345801830129
-18.5,16.0,0.02820508952434632,0.0009298755637282071,0.9708655170197831
-18.5,16.5,0.011441574419508608,0.0003881969476052712,0.39490303484459705
-18.5,17.0,-3.015437292225309e-19,-5.484538333471595e-20,1.0083080204115191e-16
-18.5,17.5,0.00833181682539583,0.00026797669808810323,0.3639914453757625
