Spread_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,34.5,42.5,0.711352,0.288648,0
1,34.5,43,0.72325152,0.27674848,0
1,34.5,43.5,0.73491356,0.26508644,0
1,34.5,44,0.74632825,0.25367175,0
1,34.5,44.5,0.75748657,0.24251343,0
1,35,25,0.23637558,0.7421533,0.02147111
1,35,25.5,0.24685752,0.73120091,0.02194157
1,35,26,0.25760706,0.7199944,0.02239854
1,35,26.5,0.26861839,0.70854105,0.02284056
1,35,27,0.27988485,0.69684897,0.02326618
1,35,27.5,0.29139896,0.68492708,0.02367396
1,35,28,0.30315241,0.6727851,0.02406249
1,35,28.5,0.31513605,0.66043354,0.02443041
1,35,29,0.32733995,0.64788366,0.02477638
1,35,29.5,0.33975339,0.63514746,0.02509915
1,35,30,0.35236487,0.62223764,0.02539748
1,35,30.5,0.36516219,0.60916756,0.02567025
1,35,31,0.37813243,0.59595121,0.02591637
1,35,31.5,0.39126201,0.58260314,0.02613485
1,35,32,0.40453676,0.56913845,0.02632479
1,35,32.5,0.41794191,0.5555727,0.02648539
1,35,33,0.43146217,0.5419219,0.02661594
1,35,33.5,0.44508179,0.52820238,0.02671583
1,35,34,0.45878462,0.51443082,0.02678456
1,35,34.5,0.47255412,0.50062411,0.02682177
1,35,35,0.4863735,0.48679933,0.02682717
1,35,35.5,0.50022572,0.47297366,0.02680062
1,35,36,0.51409356,0.45916433,0.0267421
1,35,36.5,0.52795974,0.44538856,0.0266517
1,35,37,0.54180691,0.43166347,0.02652962
1,35,37.5,0.55561778,0.41800602,0.0263762
1,35,38,0.56937516,0.40443295,0.02619189
1,35,38.5,0.58306202,0.39096073,0.02597725
1,35,39,0.59666158,0.37760547,0.02573295
1,35,39.5,0.61015733,0.36438288,0.02545979
1,35,40,0.62353315,0.35130821,0.02515865
1,35,40.5,0.63677332,0.33839617,0.02483051
1,35,41,0.6498626,0.32566093,0.02447646
1,35,41.5,0.66278631,0.31311602,0.02409767
1,35,42,0.6755303,0.30077432,0.02369538
1,35,42.5,0.6880811,0.288648,0.0232709
1,35,43,0.70042588,0.27674848,0.02282564
1,35,43.5,0.71255254,0.26508644,0.02236101
1,35,44,0.72444973,0.25367175,0.02187853
1,35,44.5,0.73610686,0.24251343,0.0213797
1,35,45,0.74751418,0.23161971,0.02086611
1,35.5,25.5,0.24685752,0.75314248,0
1,35.5,26,0.25760706,0.74239294,0
1,35.5,26.5,0.26861839,0.73138161,0
1,35.5,27,0.27988485,0.72011515,0
1,35.5,27.5,0.29139896,0.70860104,0
1,35.5,28,0.30315241,0.69684759,0
1,35.5,28.5,0.31513605,0.68486395,0
1,35.5,29,0.32733995,0.67266005,0
1,35.5,29.5,0.33975339,0.66024661,0
1,35.5,30,0.35236487,0.64763513,0
1,35.5,30.5,0.36516219,0.63483781,0
1,35.5,31,0.37813243,0.62186757,0
1,35.5,31.5,0.39126201,0.60873799,0
1,35.5,32,0.40453676,0.59546324,0
1,35.5,32.5,0.41794191,0.58205809,0
1,35.5,33,0.43146217,0.56853783,0
1,35.5,33.5,0.44508179,0.55491821,0
1,35.5,34,0.45878462,0.54121538,0
1,35.5,34.5,0.47255412,0.52744588,0
1,35.5,35,0.4863735,0.5136265,0
1,35.5,35.5,0.50022572,0.49977428,0
1,35.5,36,0.51409356,0.48590644,0
1,35.5,36.5,0.52795974,0.47204026,0
1,35.5,37,0.54180691,0.45819309,0
