Drive_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,36.0,30.0,0.38357506,0.59710453,0.0193204
1,36.0,30.5,0.39341268,0.58714679,0.01944053
1,36.0,31.0,0.4033389,0.57711212,0.01954899
1,36.0,31.5,0.41334764,0.56700688,0.01964548
1,36.0,32.0,0.42343266,0.5568376,0.01972974
1,36.0,32.5,0.43358749,0.546611,0.01980151
1,36.0,33.0,0.44380551,0.53633391,0.01986058
1,36.0,33.5,0.45407992,0.52601333,0.01990675
1,36.0,34.0,0.46440379,0.51565637,0.01993984
1,36.0,34.5,0.47477004,0.50527026,0.0199597
1,36.0,35.0,0.48517146,0.49486231,0.01996622
