Total_Bin,Market_Spread,True_Spread,Cover_probability,NoCover_probability,Push_probability
3,-55.5,-60.5,0.58120194,0.41879806,0.0
3,-55.5,-60.0,0.57282093,0.42717907,0.0
3,-55.5,-59.5,0.56440619,0.43559381,0.0
3,-55.5,-59.0,0.55596145,0.44403855,0.0
3,-55.5,-58.5,0.54749049,0.45250951,0.0
3,-55.5,-58.0,0.53899711,0.46100289,0.0
3,-55.5,-57.5,0.53048516,0.46951484,0.0
3,-55.5,-57.0,0.5219585,0.4780415,0.0
3,-55.5,-56.5,0.51342102,0.48657898,0.0
3,-55.5,-56.0,0.50487664,0.49512336,0.0
3,-55.5,-55.5,0.49632926,0.50367074,0.0
3,-55.5,-55.0,0.48778281,0.51221719,0.0
3,-55.5,-54.5,0.4792412,0.5207588,0.0
3,-55.5,-54.0,0.47070837,0.52929163,0.0
3,-55.5,-53.5,0.4621882,0.5378118,0.0
3,-55.5,-53.0,0.4536846,0.5463154,0.0
3,-55.5,-52.5,0.44520143,0.55479857,0.0
3,-55.5,-52.0,0.43674253,0.56325747,0.0
3,-55.5,-51.5,0.42831172,0.57168828,0.0
3,-55.5,-51.0,0.41991277,0.58008723,0.0
3,-55.5,-50.5,0.41154941,0.58845059,0.0
3,-55.5,-50.0,0.40322532,0.59677468,0.0
3,-55.5,-49.5,0.39494415,0.60505585,0.0
3,-55.5,-49.0,0.38670947,0.61329053,0.0
3,-55.5,-48.5,0.37852479,0.62147521,0.0
3,-55.5,-48.0,0.37039358,0.62960642,0.0
3,-55.5,-47.5,0.3623192,0.6376808,0.0
3,-55.5,-47.0,0.35430497,0.64569503,0.0
3,-55.5,-46.5,0.34635412,0.65364588,0.0
3,-55.5,-46.0,0.3384698,0.6615302,0.0
3,-55.5,-45.5,0.33065506,0.66934494,0.0
3,-55.0,-65.0,0.65452413,0.33003773,0.01543815
3,-55.0,-64.5,0.64660541,0.33782187,0.01557272
3,-55.0,-64.0,0.63862203,0.34567668,0.01570129
3,-55.0,-63.5,0.63057712,0.35359919,0.01582369
3,-55.0,-63.0,0.62247393,0.36158632,0.01593975
3,-55.0,-62.5,0.61431576,0.36963493,0.01604932
3,-55.0,-62.0,0.60610599,0.37774177,0.01615224
3,-55.0,-61.5,0.59784807,0.38590354,0.01624839
3,-55.0,-61.0,0.58954553,0.39411684,0.01633763
3,-55.0,-60.5,0.58120194,0.40237822,0.01641984
3,-55.0,-60.0,0.57282093,0.41068416,0.01649491
3,-55.0,-59.5,0.56440619,0.41903109,0.01656273
3,-55.0,-59.0,0.55596145,0.42741535,0.0166232
3,-55.0,-58.5,0.54749049,0.43583326,0.01667625
3,-55.0,-58.0,0.53899711,0.4442811,0.0167218
3,-55.0,-57.5,0.53048516,0.45275507,0.01675978
3,-55.0,-57.0,0.5219585,0.46125137,0.01679014
3,-55.0,-56.5,0.51342102,0.46976614,0.01681284
3,-55.0,-56.0,0.50487664,0.47829553,0.01682784
3,-55.0,-55.5,0.49632926,0.48683562,0.01683512
3,-55.0,-55.0,0.48778281,0.49538253,0.01683467
3,-55.0,-54.5,0.4792412,0.50393231,0.01682649
3,-55.0,-54.0,0.47070837,0.51248105,0.01681058
3,-55.0,-53.5,0.4621882,0.52102483,0.01678697
3,-55.0,-53.0,0.4536846,0.52955971,0.01675569
3,-55.0,-52.5,0.44520143,0.5380818,0.01671677
3,-55.0,-52.0,0.43674253,0.54658719,0.01667027
3,-55.0,-51.5,0.42831172,0.55507202,0.01661626
3,-55.0,-51.0,0.41991277,0.56353243,0.0165548
3,-55.0,-50.5,0.41154941,0.57196462,0.01648597
3,-55.0,-50.0,0.40322532,0.5803648,0.01640988
3,-55.0,-49.5,0.39494415,0.58872924,0.01632661
3,-55.0,-49.0,0.38670947,0.59705424,0.01623629
3,-55.0,-48.5,0.37852479,0.60533618,0.01613902
3,-55.0,-48.0,0.37039358,0.61357147,0.01603495
3,-55.0,-47.5,0.3623192,0.62175659,0.01592421
3,-55.0,-47.0,0.35430497,0.62988808,0.01580694
3,-55.0,-46.5,0.34635412,0.63796257,0.01568331
3,-55.0,-46.0,0.3384698,0.64597674,0.01555347
3,-55.0,-45.5,0.33065506,0.65392735,0.01541759
3,-55.0,-45.0,0.32291288,0.66181127,0.01527585
3,-54.5,-64.5,0.66217813,0.33782187,0.0
3,-54.5,-64.0,0.65432332,0.34567668,0.0
3,-54.5,-63.5,0.64640081,0.35359919,0.0
3,-54.5,-63.0,0.63841368,0.36158632,0.0
3,-54.5,-62.5,0.63036507,0.36963493,0.0
3,-54.5,-62.0,0.62225823,0.37774177,0.0
3,-54.5,-61.5,0.61409646,0.38590354,0.0
3,-54.5,-61.0,0.60588316,0.39411684,0.0
3,-54.5,-60.5,0.59762178,0.40237822,0.0
3,-54.5,-60.0,0.58931584,0.41068416,0.0
3,-54.5,-59.5,0.58096891,0.41903109,0.0
3,-54.5,-59.0,0.57258465,0.42741535,0.0
3,-54.5,-58.5,0.56416674,0.43583326,0.0
3,-54.5,-58.0,0.5557189,0.4442811,0.0
3,-54.5,-57.5,0.54724493,0.45275507,0.0
3,-54.5,-57.0,0.53874863,0.46125137,0.0
3,-54.5,-56.5,0.53023386,0.46976614,0.0
3,-54.5,-56.0,0.52170447,0.47829553,0.0
3,-54.5,-55.5,0.51316438,0.48683562,0.0
3,-54.5,-55.0,0.50461747,0.49538253,0.0
3,-54.5,-54.5,0.49606769,0.50393231,0.0
3,-54.5,-54.0,0.48751895,0.51248105,0.0
3,-54.5,-53.5,0.47897517,0.52102483,0.0
3,-54.5,-53.0,0.47044029,0.52955971,0.0
